round,alive_nodes,node_id,remaining_energy_j
1,100,0,1.999596
1,100,1,1.999785
1,100,2,1.999673
1,100,3,1.99952
1,100,4,1.996423
1,100,5,1.999679
1,100,6,1.999713
1,100,7,1.99953
1,100,8,1.999672
1,100,9,1.999354
1,100,10,1.999756
1,100,11,1.990026
1,100,12,1.998983
1,100,13,1.999711
1,100,14,1.999625
1,100,15,1.999421
1,100,16,1.999689
1,100,17,1.999728
1,100,18,1.999744
1,100,19,1.999733
1,100,20,1.99975
1,100,21,1.980133
1,100,22,1.99972
1,100,23,1.999714
1,100,24,1.999354
1,100,25,1.998565
1,100,26,1.99947
1,100,27,1.999733
1,100,28,1.999742
1,100,29,1.999513
1,100,30,1.999664
1,100,31,1.999704
1,100,32,1.999535
1,100,33,1.999745
1,100,34,1.999629
1,100,35,1.997805
1,100,36,1.99975
1,100,37,1.985009
1,100,38,1.996217
1,100,39,1.999699
1,100,40,1.999306
1,100,41,1.993206
1,100,42,1.999344
1,100,43,1.981943
1,100,44,1.999507
1,100,45,1.999714
1,100,46,1.990203
1,100,47,1.999594
1,100,48,1.999601
1,100,49,1.999465
1,100,50,1.999792
1,100,51,1.99969
1,100,52,1.999644
1,100,53,1.999631
1,100,54,1.999593
1,100,55,1.999556
1,100,56,1.999494
1,100,57,1.999643
1,100,58,1.999673
1,100,59,1.999641
1,100,60,1.999744
1,100,61,1.999737
1,100,62,1.995355
1,100,63,1.998435
1,100,64,1.99971
1,100,65,1.996531
1,100,66,1.999725
1,100,67,1.996089
1,100,68,1.99975
1,100,69,1.999394
1,100,70,1.999727
1,100,71,1.999614
1,100,72,1.968481
1,100,73,1.995145
1,100,74,1.999534
1,100,75,1.999576
1,100,76,1.971262
1,100,77,1.99962
1,100,78,1.999555
1,100,79,1.999786
1,100,80,1.999533
1,100,81,1.999629
1,100,82,1.999654
1,100,83,1.999509
1,100,84,1.999745
1,100,85,1.999452
1,100,86,1.999725
1,100,87,1.999703
1,100,88,1.998934
1,100,89,1.999557
1,100,90,1.998882
1,100,91,1.99967
1,100,92,1.99975
1,100,93,1.999002
1,100,94,1.997841
1,100,95,1.999656
1,100,96,1.999789
1,100,97,1.999774
1,100,98,1.999728
1,100,99,1.99945
2,100,0,1.994319
2,100,1,1.999398
2,100,2,1.990382
2,100,3,1.998554
2,100,4,1.995948
2,100,5,1.999246
2,100,6,1.999445
2,100,7,1.999159
2,100,8,1.993929
2,100,9,1.999122
2,100,10,1.998589
2,100,11,1.989684
2,100,12,1.996165
2,100,13,1.998995
2,100,14,1.990039
2,100,15,1.998527
2,100,16,1.998229
2,100,17,1.999178
2,100,18,1.998828
2,100,19,1.998817
2,100,20,1.999245
2,100,21,1.979139
2,100,22,1.998938
2,100,23,1.999141
2,100,24,1.999107
2,100,25,1.998078
2,100,26,1.99723
2,100,27,1.999304
2,100,28,1.987661
2,100,29,1.993679
2,100,30,1.994852
2,100,31,1.998949
2,100,32,1.993019
2,100,33,1.997989
2,100,34,1.988954
2,100,35,1.977317
2,100,36,1.999362
2,100,37,1.984651
2,100,38,1.992924
2,100,39,1.999259
2,100,40,1.998879
2,100,41,1.992959
2,100,42,1.995471
2,100,43,1.978466
2,100,44,1.999277
2,100,45,1.99795
2,100,46,1.989944
2,100,47,1.998812
2,100,48,1.998557
2,100,49,1.98819
2,100,50,1.998389
2,100,51,1.99887
2,100,52,1.998916
2,100,53,1.999302
2,100,54,1.999072
2,100,55,1.999236
2,100,56,1.996169
2,100,57,1.980138
2,100,58,1.999299
2,100,59,1.975493
2,100,60,1.999352
2,100,61,1.999318
2,100,62,1.994923
2,100,63,1.998188
2,100,64,1.999053
2,100,65,1.995465
2,100,66,1.998783
2,100,67,1.964522
2,100,68,1.999244
2,100,69,1.998289
2,100,70,1.996974
2,100,71,1.999144
2,100,72,1.967115
2,100,73,1.994741
2,100,74,1.999257
2,100,75,1.998509
2,100,76,1.954724
2,100,77,1.999311
2,100,78,1.998808
2,100,79,1.999385
2,100,80,1.999234
2,100,81,1.999318
2,100,82,1.999388
2,100,83,1.999042
2,100,84,1.998852
2,100,85,1.999235
2,100,86,1.999044
2,100,87,1.998939
2,100,88,1.984003
2,100,89,1.999157
2,100,90,1.998601
2,100,91,1.999245
2,100,92,1.999048
2,100,93,1.996309
2,100,94,1.997218
2,100,95,1.998506
2,100,96,1.999367
2,100,97,1.998897
2,100,98,1.999079
2,100,99,1.987119
3,100,0,1.994043
3,100,1,1.995227
3,100,2,1.989753
3,100,3,1.998192
3,100,4,1.99419
3,100,5,1.999039
3,100,6,1.997968
3,100,7,1.998405
3,100,8,1.992656
3,100,9,1.998629
3,100,10,1.998275
3,100,11,1.985743
3,100,12,1.98793
3,100,13,1.993271
3,100,14,1.98907
3,100,15,1.998068
3,100,16,1.997873
3,100,17,1.99892
3,100,18,1.998462
3,100,19,1.998523
3,100,20,1.998583
3,100,21,1.978864
3,100,22,1.99684
3,100,23,1.998799
3,100,24,1.998873
3,100,25,1.997789
3,100,26,1.992903
3,100,27,1.998875
3,100,28,1.983857
3,100,29,1.993462
3,100,30,1.994501
3,100,31,1.998339
3,100,32,1.990455
3,100,33,1.997082
3,100,34,1.987554
3,100,35,1.954128
3,100,36,1.99076
3,100,37,1.984251
3,100,38,1.9925
3,100,39,1.996962
3,100,40,1.985743
3,100,41,1.990811
3,100,42,1.994799
3,100,43,1.978017
3,100,44,1.998122
3,100,45,1.997693
3,100,46,1.985451
3,100,47,1.994723
3,100,48,1.992419
3,100,49,1.985018
3,100,50,1.998109
3,100,51,1.998649
3,100,52,1.989537
3,100,53,1.987139
3,100,54,1.99802
3,100,55,1.999016
3,100,56,1.9956
3,100,57,1.974301
3,100,58,1.999074
3,100,59,1.974389
3,100,60,1.996247
3,100,61,1.990398
3,100,62,1.994708
3,100,63,1.997508
3,100,64,1.998828
3,100,65,1.994999
3,100,66,1.998293
3,100,67,1.963495
3,100,68,1.998763
3,100,69,1.997983
3,100,70,1.996383
3,100,71,1.996594
3,100,72,1.966138
3,100,73,1.99449
3,100,74,1.998051
3,100,75,1.984863
3,100,76,1.953328
3,100,77,1.999098
3,100,78,1.998427
3,100,79,1.999185
3,100,80,1.997592
3,100,81,1.998361
3,100,82,1.999118
3,100,83,1.99706
3,100,84,1.998543
3,100,85,1.994973
3,100,86,1.984987
3,100,87,1.998458
3,100,88,1.983578
3,100,89,1.998805
3,100,90,1.998212
3,100,91,1.992867
3,100,92,1.998842
3,100,93,1.99026
3,100,94,1.996922
3,100,95,1.998064
3,100,96,1.999048
3,100,97,1.998671
3,100,98,1.997354
3,100,99,1.986338
4,100,0,1.992431
4,100,1,1.994871
4,100,2,1.989506
4,100,3,1.997612
4,100,4,1.993771
4,100,5,1.998293
4,100,6,1.997662
4,100,7,1.997958
4,100,8,1.992247
4,100,9,1.996161
4,100,10,1.997632
4,100,11,1.920805
4,100,12,1.987327
4,100,13,1.99222
4,100,14,1.988765
4,100,15,1.997799
4,100,16,1.986283
4,100,17,1.9985
4,100,18,1.998161
4,100,19,1.998174
4,100,20,1.997548
4,100,21,1.973699
4,100,22,1.99469
4,100,23,1.9977
4,100,24,1.977861
4,100,25,1.994852
4,100,26,1.960741
4,100,27,1.997673
4,100,28,1.983468
4,100,29,1.980716
4,100,30,1.9816
4,100,31,1.996479
4,100,32,1.989956
4,100,33,1.996711
4,100,34,1.987313
4,100,35,1.948182
4,100,36,1.977588
4,100,37,1.98281
4,100,38,1.992164
4,100,39,1.996727
4,100,40,1.963936
4,100,41,1.99045
4,100,42,1.994417
4,100,43,1.977487
4,100,44,1.988047
4,100,45,1.996514
4,100,46,1.985202
4,100,47,1.99331
4,100,48,1.99185
4,100,49,1.92735
4,100,50,1.994186
4,100,51,1.997739
4,100,52,1.98928
4,100,53,1.986871
4,100,54,1.991864
4,100,55,1.998542
4,100,56,1.976237
4,100,57,1.972924
4,100,58,1.996352
4,100,59,1.967868
4,100,60,1.995972
4,100,61,1.990197
4,100,62,1.994397
4,100,63,1.996021
4,100,64,1.997725
4,100,65,1.993721
4,100,66,1.996956
4,100,67,1.963154
4,100,68,1.99659
4,100,69,1.997505
4,100,70,1.996074
4,100,71,1.995655
4,100,72,1.965517
4,100,73,1.993991
4,100,74,1.995407
4,100,75,1.984511
4,100,76,1.952929
4,100,77,1.997065
4,100,78,1.998129
4,100,79,1.998841
4,100,80,1.996942
4,100,81,1.998028
4,100,82,1.997341
4,100,83,1.996515
4,100,84,1.998188
4,100,85,1.981147
4,100,86,1.981815
4,100,87,1.997567
4,100,88,1.982145
4,100,89,1.99295
4,100,90,1.98161
4,100,91,1.992509
4,100,92,1.997469
4,100,93,1.989624
4,100,94,1.995345
4,100,95,1.996729
4,100,96,1.99787
4,100,97,1.99714
4,100,98,1.995389
4,100,99,1.976431
5,100,0,1.992164
5,100,1,1.994562
5,100,2,1.977775
5,100,3,1.997203
5,100,4,1.988786
5,100,5,1.998035
5,100,6,1.997356
5,100,7,1.997638
5,100,8,1.987565
5,100,9,1.993813
5,100,10,1.997338
5,100,11,1.903932
5,100,12,1.987012
5,100,13,1.991839
5,100,14,1.987711
5,100,15,1.996929
5,100,16,1.985881
5,100,17,1.99816
5,100,18,1.997945
5,100,19,1.99797
5,100,20,1.997059
5,100,21,1.973491
5,100,22,1.993188
5,100,23,1.997391
5,100,24,1.972046
5,100,25,1.994086
5,100,26,1.959406
5,100,27,1.997007
5,100,28,1.983049
5,100,29,1.980469
5,100,30,1.981354
5,100,31,1.99614
5,100,32,1.978183
5,100,33,1.996381
5,100,34,1.985836
5,100,35,1.946335
5,100,36,1.977386
5,100,37,1.98252
5,100,38,1.991836
5,100,39,1.992796
5,100,40,1.962871
5,100,41,1.976952
5,100,42,1.994069
5,100,43,1.977144
5,100,44,1.987216
5,100,45,1.996164
5,100,46,1.984939
5,100,47,1.993085
5,100,48,1.991612
5,100,49,1.924697
5,100,50,1.971543
5,100,51,1.997537
5,100,52,1.989038
5,100,53,1.986458
5,100,54,1.991629
5,100,55,1.997729
5,100,56,1.975882
5,100,57,1.972476
5,100,58,1.996143
5,100,59,1.967211
5,100,60,1.995763
5,100,61,1.976725
5,100,62,1.994023
5,100,63,1.991105
5,100,64,1.989555
5,100,65,1.993341
5,100,66,1.996562
5,100,67,1.953839
5,100,68,1.996192
5,100,69,1.997176
5,100,70,1.995299
5,100,71,1.995385
5,100,72,1.964617
5,100,73,1.993735
5,100,74,1.995194
5,100,75,1.983882
5,100,76,1.952602
5,100,77,1.994016
5,100,78,1.994998
5,100,79,1.998537
5,100,80,1.99647
5,100,81,1.997728
5,100,82,1.995992
5,100,83,1.996168
5,100,84,1.989168
5,100,85,1.980913
5,100,86,1.981536
5,100,87,1.997184
5,100,88,1.979377
5,100,89,1.99248
5,100,90,1.981348
5,100,91,1.991804
5,100,92,1.997043
5,100,93,1.989351
5,100,94,1.994899
5,100,95,1.989562
5,100,96,1.997632
5,100,97,1.9967
5,100,98,1.994187
5,100,99,1.975958
6,100,0,1.991591
6,100,1,1.993949
6,100,2,1.976896
6,100,3,1.996776
6,100,4,1.988392
6,100,5,1.997486
6,100,6,1.99686
6,100,7,1.997329
6,100,8,1.987069
6,100,9,1.993573
6,100,10,1.995355
6,100,11,1.903571
6,100,12,1.970701
6,100,13,1.991634
6,100,14,1.987493
6,100,15,1.979031
6,100,16,1.985612
6,100,17,1.997578
6,100,18,1.996523
6,100,19,1.997315
6,100,20,1.972121
6,100,21,1.971083
6,100,22,1.992985
6,100,23,1.993145
6,100,24,1.970766
6,100,25,1.993837
6,100,26,1.959035
6,100,27,1.996691
6,100,28,1.982582
6,100,29,1.979963
6,100,30,1.97916
6,100,31,1.995927
6,100,32,1.977868
6,100,33,1.981781
6,100,34,1.941982
6,100,35,1.945151
6,100,36,1.976784
6,100,37,1.98231
6,100,38,1.990684
6,100,39,1.992289
6,100,40,1.962274
6,100,41,1.936404
6,100,42,1.993624
6,100,43,1.976889
6,100,44,1.986647
6,100,45,1.995701
6,100,46,1.983922
6,100,47,1.992761
6,100,48,1.991292
6,100,49,1.924455
6,100,50,1.969792
6,100,51,1.997285
6,100,52,1.988712
6,100,53,1.985461
6,100,54,1.990986
6,100,55,1.997401
6,100,56,1.974847
6,100,57,1.971814
6,100,58,1.995833
6,100,59,1.96679
6,100,60,1.995268
6,100,61,1.976209
6,100,62,1.993564
6,100,63,1.972589
6,100,64,1.989317
6,100,65,1.993055
6,100,66,1.996342
6,100,67,1.953592
6,100,68,1.994236
6,100,69,1.996815
6,100,70,1.994927
6,100,71,1.994913
6,100,72,1.964368
6,100,73,1.992235
6,100,74,1.994799
6,100,75,1.983203
6,100,76,1.951066
6,100,77,1.993707
6,100,78,1.994705
6,100,79,1.99791
6,100,80,1.996172
